epoch,global_step,train_loss,eval_loss,eval_accuracy,eval_macro_f1
1,1000,0.6102398212346543,0.2302004836771739,0.915,0.9156385546274484
2,2000,0.14786791087745313,0.13605344086303375,0.953,0.9532733525161394
3,3000,0.026478896530267776,0.12302827191818141,0.961,0.9609989948252391
